prov,count,latitude,longitude
Aceh,27,4.306066667,97.25572444
Babel,1107,-2.608329675,106.5006989
Bali,159,-8.318457296,115.4299558
Banten,315,-6.32130327,106.0590649
Bengkulu,125,-3.7285456,102.53889
Gorontalo,483,0.658215507,122.4462106
Jabar,727,-6.74556608,107.6799522
Jakarta,22,-6.167780909,106.8748823
Jambi,1143,-1.771583421,102.7978781
Jateng,788,-7.347916802,110.331183
Jatim,1935,-7.812245866,112.8639859
Kalbar,1800,-1.678603572,110.3626689
Kalsel,3453,-3.090130368,115.1338036
Kalteng,13993,-2.688974186,113.3425243
Kaltim,3407,-0.176332342,116.7339004
Kaluta,248,3.322116129,117.0027963
Kepri,34,0.632531429,104.4405017
Lampung,2837,-4.472594455,105.3611544
Maluku,2187,-5.796359655,132.7383161
Malut,472,0.321241123,127.8166571
Ntb,2973,-8.555250784,118.0050926
Ntt,7356,-9.977715758,124.020388
Pabada,25,-0.9587916,132.5318668
Pabar,106,-2.233601509,133.419162
Papua,54,-2.278439444,138.8940663
Pasel,8549,-7.98242125,139.4667773
Riau,865,-0.341552728,102.1820443
Sulbar,247,-2.56217753,119.297684
Sulsel,2051,-3.856270137,120.2803708
Sulteng,2254,-1.534346877,121.6369044
Sultra,2315,-4.445762648,122.2789347
Sulut,283,1.029225959,124.5108203
Sumbar,283,-1.544061873,101.1204955
Sumsel,15848,-3.332178788,104.9449591
Sumut,31,1.965282258,99.03568548
Yogya,12,-7.86517,110.5368225
Indonesia,78759,-4,117.5
